Year,Excellent,Good,Only fair,Poor,No opinion
2001,15,30,25,10,20
2002,20,35,20,15,10
2003,25,30,25,10,10
2004,30,25,20,15,10
2005,35,20,25,10,10
2006,30,25,20,15,10
2007,35,30,20,10,5
2008,30,35,20,10,5
2009,25,30,25,10,10
2010,20,25,30,15,10
2011,15,30,25,20,10
2012,20,35,20,15,10
2013,25,30,20,15,10
2014,30,25,25,10,10
2015,35,20,25,10,10
2016,40,20,20,10,10
2017,35,25,20,15,5
2018,30,30,25,10,5
2019,25,25,20,15,15
2020,30,30,25,10,5
2021,35,25,20,15,5
2022,30,30,25,10,5
2023,25,35,20,10,10
2024,20,30,25,15,10
2025,15,35,20,10,10
